name,price_cr,bhk,area,possession,legal_status,connectivity
Godrej Woods 1,5.6,4,Koramangala,Dec 2026,Clear,Metro 3km
Salarpuria Greens 2,4.1,2,Bellandur,Jun 2027,Pending,ORR Access
Adarsh City 3,2.5,3,Marathahalli,Ready,Clear,Highway Access
Godrej Towers 4,2.5,3,Indiranagar,Mar 2027,Clear,Bus Stop 500m
DNR Woods 5,2.2,2,Koramangala,Jun 2027,Clear,ORR Access
Salarpuria Villas 6,3.8,3,HSR Layout,Dec 2026,Clear,Bus Stop 500m
Adarsh Greens 7,2.2,2,Whitefield,Jun 2027,Clear,Highway Access
Concorde Enclave 8,3.4,4,HSR Layout,Jun 2027,Clear,Bus Stop 500m
Brigade Park 9,4.3,3,HSR Layout,Dec 2026,Clear,Metro 2km
DNR Greens 10,5.0,4,Whitefield,Jun 2027,Clear,Metro 2km
DNR Lake 11,3.9,3,Bellandur,Sep 2026,Clear,Metro 1km
Shobha Greens 12,3.5,4,Sarjapur Road,Ready,Clear,ORR Access
DNR Park 13,3.6,4,Kadubeesanahalli,Mar 2027,Clear,Highway Access
Brigade Woods 14,6.9,4,Bellandur,Ready,Clear,Bus Stop 500m
DNR Villas 15,4.4,5,Marathahalli,Mar 2027,Clear,Bus Stop 500m
Adarsh Greens 16,2.7,5,Sarjapur Road,Mar 2027,Clear,Metro 3km
Godrej Greens 17,5.9,5,Indiranagar,Dec 2026,Clear,Highway Access
Brigade Courtyard 18,3.3,4,Koramangala,Dec 2026,Clear,Highway Access
Shobha Park 19,3.5,2,HSR Layout,Dec 2026,Clear,Metro 2km
Adarsh Towers 20,4.7,4,Marathahalli,Ready,Clear,Bus Stop 500m
Godrej Greens 21,4.1,4,Koramangala,Ready,Clear,ORR Access
DNR Towers 22,4.3,5,Bellandur,Ready,Clear,Highway Access
Adarsh Heights 23,3.3,5,Whitefield,Mar 2027,Clear,Highway Access
DNR Lake 24,4.0,4,HSR Layout,Jun 2027,Clear,Metro 3km
Adarsh Towers 25,6.2,4,Bellandur,Jun 2027,Clear,Metro 3km
Salarpuria Greens 26,3.7,5,Koramangala,Dec 2026,Clear,Bus Stop 500m
Adarsh City 27,6.2,4,Marathahalli,Sep 2026,Clear,ORR Access
Adarsh Woods 28,4.5,4,Electronic City,Ready,Clear,Metro 2km
Adarsh Towers 29,3.7,5,Koramangala,Sep 2026,Clear,Metro 2km
Salarpuria Woods 30,3.1,5,Yelahanka,Jun 2027,Clear,Highway Access
Concorde Woods 31,5.0,5,HSR Layout,Dec 2026,Clear,Metro 1km
Prestige Towers 32,4.8,3,Bellandur,Ready,Clear,Bus Stop 500m
Puravankara Greens 33,2.5,2,Sarjapur Road,Jun 2027,Clear,Metro 2km
Concorde Park 34,4.0,5,Yelahanka,Jun 2027,Clear,ORR Access
Sobha Towers 35,3.7,5,Koramangala,Sep 2026,Clear,Metro 2km
Godrej Park 36,1.5,2,HSR Layout,Ready,Clear,Highway Access
Concorde Greens 37,4.3,5,Marathahalli,Ready,Clear,Metro 3km
Concorde City 38,3.1,3,Sarjapur Road,Dec 2026,Clear,Metro 3km
Brigade Park 39,5.6,5,Indiranagar,Jun 2027,Clear,Bus Stop 500m
Concorde City 40,3.1,3,HSR Layout,Mar 2027,Clear,Metro 1km
Godrej Villas 41,2.8,5,Yelahanka,Jun 2027,Clear,Highway Access
